iter	Passed	Remaining
146	11960	394859
147	12036	394616
148	12112	394347
149	12191	394198
150	12263	393814
151	12335	393446
152	12395	392690
153	12476	392604
154	12553	392398
155	12626	392072
156	12723	392477
157	12806	392457
158	12887	392393
159	12979	392622
160	13058	392492
161	13133	392218
162	13215	392162
163	13299	392167
164	13372	391862
165	13441	391426
166	13509	390965
167	13591	390908
168	13670	390773
169	13749	390644
170	13822	390348
171	13892	389968
172	13965	389664
173	14041	389453
174	14122	389365
175	14199	389206
176	14278	389082
177	14351	388780
178	14421	388423
179	14495	388164
180	14579	388169
181	14650	387847
182	14725	387597
183	14786	387018
184	14866	386938
185	14938	386632
186	15033	386940
187	15105	386647
188	15183	386491
189	15259	386293
190	15333	386055
191	15406	385796
192	15481	385587
193	15559	385463
194	15631	385175
195	15716	385220
196	15814	385574
197	15897	385551
198	15978	385492
199	16066	385603
200	16140	385364
201	16215	385154
202	16295	385060
203	16374	384962
204	16453	384855
205	16528	384644
206	16600	384384
207	16670	384065
208	16758	384157
209	16826	383804
210	16903	383655
211	16987	383658
212	17070	383646
213	17147	383502
214	17229	383456
215	17306	383306
216	17381	383107
217	17450	382791
218	17529	382681
219	17602	382462
220	17673	382179
221	17751	382055
222	17830	381965
223	17907	381811
224	17977	381515
225	18053	381363
226	18127	381166
227	18212	381194
228	18290	381062
229	18355	380677
230	18430	380505
231	18500	380222
232	18575	380045
233	18664	380142
234	18742	380038
235	18820	379913
236	18893	379699
237	18965	379462
238	19018	378859
239	19099	378810
240	19181	378775
241	19252	378521
242	19328	378386
243	19404	378227
244	19492	378323
245	19571	378219
246	19643	378005
247	19720	377866
248	19795	377713
249	19875	377638
250	19947	377420
251	20031	377414
252	20102	377184
253	20180	377077
254	20256	376933
255	20339	376918
256	20421	376886
257	20498	376762
258	20578	376681
259	20655	376558
260	20771	377145
261	20873	377480
262	20957	377473
263	21049	377615
264	21138	377708
265	21210	377477
266	21290	377404
267	21369	377320
268	21449	377234
269	21531	377199
270	21612	377142
271	21693	377086
272	21776	377058
273	21861	377074
274	21940	376970
275	22027	377019
276	22101	376847
277	22180	376756
278	22261	376689
279	22335	376514
280	22417	376469
281	22494	376351
282	22577	376313
283	22660	376296
284	22735	376135
285	22820	376137
286	22906	376167
287	22980	375994
288	23061	375934
289	23139	375815
290	23213	375644
291	23293	375565
292	23365	375370
293	23443	375259
294	23521	375147
295	23609	375201
296	23688	375100
297	23767	375020
298	23844	374890
299	23920	374759
300	23998	374653
301	24061	374306
302	24137	374165
303	24213	374027
304	24299	374059
305	24384	374059
306	24470	374072
307	24542	373867
308	24622	373801
309	24703	373733
310	24785	373701
311	24858	373512
312	24928	373294
313	25008	373210
314	25082	373050
315	25164	373006
316	25244	372927
317	25330	372943
318	25413	372916
319	25497	372904
320	25576	372818
321	25650	372645
322	25755	372936
323	25853	373117
324	25943	373190
325	26033	373255
326	26121	373290
327	26197	373156
328	26276	373058
329	26368	373154
330	26443	373000
331	26519	372874
332	26598	372775
333	26673	372632
334	26764	372708
335	26852	372742
336	26928	372607
337	27081	373527
338	27161	373448
339	27242	373381
340	27317	373230
341	27402	373216
342	27488	373216
343	27570	373168
344	27647	373037
345	27727	372965
346	27805	372848
347	27885	372769
348	27964	372679
349	28040	372542
350	28116	372403
351	28194	372289
352	28278	372269
353	28352	372104
354	28436	372073
355	28512	371939
356	28601	371981
357	28676	371835
358	28757	371759
359	28834	371644
360	28916	371586
361	28993	371468
362	29073	371394
363	29153	371308
364	29228	371163
365	29309	371089
366	29381	370909
367	29481	371079
368	29564	371038
369	29647	370997
370	29724	370879
371	29818	370968
372	29891	370795
373	29967	370661
374	30052	370643
375	30132	370561
376	30212	370482
377	30296	370445
378	30378	370395
379	30461	370346
380	30541	370270
381	30625	370230
382	30737	370531
383	30830	370610
384	30916	370594
385	30999	370543
386	31092	370615
387	31172	370529
388	31245	370365
389	31319	370214
390	31396	370096
391	31483	370088
392	31567	370058
393	31647	369974
394	31728	369898
395	31804	369772
396	31884	369680
397	31963	369585
398	32039	369460
