feature,importance,fold,seed
stmt_days_since_last,0.7612670871801056,4,42
stmt_txn_intensity_per_day,0.7016157841478572,4,42
title,3.3377917249653883,4,3407
career,2.6951754667594545,4,3407
zip_code,4.632471471789408,4,3407
residence,2.7531300051028764,4,3407
loan,4.016824985099863,4,3407
term,5.4067041998820216,4,3407
interest_rate,14.551166215271119,4,3407
syndicated,0.19457402356644088,4,3407
installment,0.23919340103313735,4,3407
total_accounts,2.8130629159893874,4,3407
balance_accounts,6.541168604505109,4,3407
balance_limit,2.8983335685069727,4,3407
balance,3.9890527994988667,4,3407
level,5.016666805600711,4,3407
days_since_issue_time,5.331517638572807,4,3407
days_since_record_time,3.23833213123744,4,3407
days_since_history_time,4.045491960999402,4,3407
stmt_txn_count,0.9148502024419333,4,3407
stmt_amt_sum,0.947612321447164,4,3407
stmt_amt_mean,1.0706958196930794,4,3407
stmt_amt_std,1.4336494249526035,4,3407
stmt_amt_min,4.912432356332871,4,3407
stmt_amt_max,0.607707607065238,4,3407
stmt_amt_median,0.9200154455042935,4,3407
stmt_in_sum,1.2591983896838899,4,3407
stmt_in_mean,1.5365148392229284,4,3407
stmt_in_std,1.402850839317845,4,3407
stmt_in_min,1.8035739092591252,4,3407
stmt_in_max,0.9115819664284815,4,3407
stmt_in_median,0.9824262756090141,4,3407
stmt_out_sum,1.1169682178742095,4,3407
stmt_out_mean,0.7315785893063662,4,3407
stmt_out_std,1.0008222461067948,4,3407
stmt_out_min,0.8093921025440364,4,3407
stmt_out_max,0.9588201830962336,4,3407
stmt_out_median,1.3687077928576719,4,3407
stmt_active_days,1.0413760116254511,4,3407
stmt_days_since_first,1.0081244270948626,4,3407
stmt_days_since_last,0.8662106870903253,4,3407
stmt_txn_intensity_per_day,0.6942324270651458,4,3407
title,5.053426609907465,5,42
career,1.998658367885331,5,42
zip_code,2.678250334119385,5,42
residence,3.999447502116811,5,42
loan,2.621162060184263,5,42
term,9.3670407866055,5,42
interest_rate,19.3313771449378,5,42
syndicated,0.04823015764572319,5,42
installment,0.4634369899949188,5,42
total_accounts,1.682322017254569,5,42
balance_accounts,7.295780938086287,5,42
balance_limit,1.8211614423970393,5,42
balance,2.25097436536805,5,42
level,5.919215826145238,5,42
days_since_issue_time,3.4163048297861978,5,42
days_since_record_time,1.801263391211944,5,42
days_since_history_time,1.8548062542938508,5,42
stmt_txn_count,0.28712460613951846,5,42
stmt_amt_sum,0.7394096648422601,5,42
stmt_amt_mean,0.8208030046605438,5,42
stmt_amt_std,1.0913851932422496,5,42
stmt_amt_min,9.311465656313969,5,42
stmt_amt_max,0.8014274354120142,5,42
stmt_amt_median,0.658500718899362,5,42
stmt_in_sum,0.5875269057316181,5,42
stmt_in_mean,0.5909084449188968,5,42
stmt_in_std,1.4641219803061107,5,42
stmt_in_min,1.5580789066876437,5,42
stmt_in_max,0.8413916460081,5,42
stmt_in_median,1.157642935512273,5,42
stmt_out_sum,1.0407984597130087,5,42
stmt_out_mean,0.45870955462876895,5,42
stmt_out_std,0.9148704192056866,5,42
stmt_out_min,0.48397652496464566,5,42
stmt_out_max,0.4336038944024626,5,42
stmt_out_median,2.403356477002343,5,42
stmt_active_days,0.5670223850193469,5,42
stmt_days_since_first,1.0308831410764647,5,42
stmt_days_since_last,0.718531441248562,5,42
stmt_txn_intensity_per_day,0.43560158612379135,5,42
